timestamp,event_type,details,mouse_x,mouse_y
2025-02-21T20:48:23.821429800+05:30,mouse_move,"Moved to (788, 699)",788,699
2025-02-21T20:48:25.243652900+05:30,mouse_move,"Moved to (788, 700)",788,700
2025-02-21T20:48:25.294620200+05:30,mouse_move,"Moved to (803, 723)",803,723
2025-02-21T20:48:25.345532100+05:30,mouse_move,"Moved to (858, 796)",858,796
timestamp,event_type,details,mouse_x,mouse_y
2025-02-21T20:49:03.884841800+05:30,mouse_move,"Moved to (502, 532)",502,532
2025-02-21T20:49:03.936478400+05:30,mouse_move,"Moved to (502, 531)",502,531
2025-02-21T20:49:04.847575300+05:30,mouse_move,"Moved to (493, 553)",493,553
2025-02-21T20:49:04.900774800+05:30,mouse_move,"Moved to (485, 605)",485,605
2025-02-21T20:49:04.951246800+05:30,mouse_move,"Moved to (486, 608)",486,608
2025-02-21T20:49:05.004623+05:30,mouse_move,"Moved to (487, 608)",487,608
2025-02-21T20:49:05.055166300+05:30,mouse_move,"Moved to (491, 608)",491,608
2025-02-21T20:49:05.156614900+05:30,mouse_move,"Moved to (493, 608)",493,608
2025-02-21T20:49:05.207182300+05:30,mouse_move,"Moved to (506, 618)",506,618
2025-02-21T20:49:05.258006200+05:30,mouse_move,"Moved to (568, 664)",568,664
2025-02-21T20:49:05.308860600+05:30,mouse_move,"Moved to (735, 749)",735,749
2025-02-21T20:49:05.359910500+05:30,mouse_move,"Moved to (924, 863)",924,863
2025-02-21T20:49:05.411434900+05:30,mouse_move,"Moved to (1024, 930)",1024,930
2025-02-21T20:49:05.462222400+05:30,mouse_move,"Moved to (1041, 942)",1041,942
2025-02-21T20:49:05.563499700+05:30,mouse_move,"Moved to (1088, 943)",1088,943
2025-02-21T20:49:05.613987500+05:30,mouse_move,"Moved to (1131, 901)",1131,901
2025-02-21T20:49:05.664753400+05:30,mouse_move,"Moved to (1160, 652)",1160,652
2025-02-21T20:49:05.715375900+05:30,mouse_move,"Moved to (1145, 538)",1145,538
2025-02-21T20:49:05.767547400+05:30,mouse_move,"Moved to (1131, 516)",1131,516
2025-02-21T20:49:05.818281900+05:30,mouse_move,"Moved to (1120, 507)",1120,507
2025-02-21T20:49:05.869040+05:30,mouse_move,"Moved to (1084, 492)",1084,492
2025-02-21T20:49:05.919510700+05:30,mouse_move,"Moved to (985, 448)",985,448
2025-02-21T20:49:05.970284100+05:30,mouse_move,"Moved to (962, 431)",962,431
2025-02-21T20:49:06.021754900+05:30,mouse_move,"Moved to (954, 420)",954,420
2025-02-21T20:49:06.073113400+05:30,mouse_move,"Moved to (936, 401)",936,401
2025-02-21T20:49:06.123782500+05:30,mouse_move,"Moved to (928, 394)",928,394
2025-02-21T20:49:06.174455500+05:30,mouse_move,"Moved to (927, 393)",927,393
2025-02-21T20:49:06.427648100+05:30,mouse_move,"Moved to (926, 392)",926,392
2025-02-21T20:49:07.541182400+05:30,mouse_move,"Moved to (936, 402)",936,402
2025-02-21T20:49:07.592070600+05:30,mouse_move,"Moved to (1180, 697)",1180,697
2025-02-21T20:49:07.643560400+05:30,mouse_move,"Moved to (1754, 1236)",1754,1236
2025-02-21T20:49:07.694223300+05:30,mouse_move,"Moved to (1811, 1272)",1811,1272
2025-02-21T20:49:07.997752800+05:30,mouse_move,"Moved to (1812, 1272)",1812,1272
2025-02-21T20:49:08.048782500+05:30,mouse_move,"Moved to (1856, 1252)",1856,1252
2025-02-21T20:49:08.099626700+05:30,mouse_move,"Moved to (1884, 1233)",1884,1233
2025-02-21T20:49:08.201832900+05:30,mouse_move,"Moved to (1888, 1233)",1888,1233
2025-02-21T20:49:08.252272400+05:30,mouse_move,"Moved to (1904, 1233)",1904,1233
2025-02-21T20:49:08.302867100+05:30,mouse_move,"Moved to (1948, 1261)",1948,1261
2025-02-21T20:49:08.355630900+05:30,mouse_move,"Moved to (1952, 1264)",1952,1264
2025-02-21T20:49:08.507790700+05:30,mouse_move,"Moved to (1955, 1264)",1955,1264
2025-02-21T20:49:08.558625700+05:30,mouse_move,"Moved to (1956, 1270)",1956,1270
2025-02-21T20:49:08.610453300+05:30,mouse_move,"Moved to (1955, 1300)",1955,1300
2025-02-21T20:49:08.661270700+05:30,mouse_move,"Moved to (1952, 1344)",1952,1344
2025-02-21T20:49:08.712391100+05:30,mouse_move,"Moved to (1957, 1388)",1957,1388
2025-02-21T20:49:08.762915300+05:30,mouse_move,"Moved to (1957, 1391)",1957,1391
2025-02-21T20:49:09.219655200+05:30,mouse_move,"Moved to (1956, 1392)",1956,1392
